384_Plate,ORF,Gene,Description,1536_coord
7A12,YML103C,NUP188,Subunit of the inner ring of the nuclear pore complex (NPC); contributes to NPC organization and nucleocytoplasmic transport; homologous to human NUP188,02_02_23
8A12,YOL015W,IRC10,Protein of unknown function; null mutant displays increased levels of spontaneous Rad52p foci,02_02_24
7A13,YOR145C,PNO1,"Essential nucleolar protein required for pre-18S rRNA processing; interacts with Dim1p, an 18S rRNA dimethyltransferase, and also with Nob1p, which is involved in proteasome biogenesis; contains a KH domain",02_02_25
8A13,YJL128C,PBS2,MAP kinase kinase of the HOG signaling pathway; activated under severe osmotic stress; mitophagy-specific regulator; plays a role in regulating Ty1 transposition,02_02_26
7A14,YBR200W,BEM1,"Protein containing SH3-domains; involved in establishing cell polarity and morphogenesis; functions as a scaffold protein for complexes that include Cdc24p, Ste5p, Ste20p, and Rsr1p",02_02_27
8A14,YDR533C,HSP31,"Methylglyoxalase that converts methylglyoxal to D-lactate; involved in oxidative stress resistance, diauxic shift, and stationary phase survival; has similarity to E. coli Hsp31 and C. albicans Glx3p; member of the DJ-1/ThiJ/PfpI superfamily, which includes human DJ-1 involved in Parkinson's disease and cancer; exists as a dimer and contains a putative metal-binding site; protein abundance increases in response to DNA replication stress",02_02_28
7A15,YJL020C,BBC1,Protein possibly involved in assembly of actin patches; interacts with an actin assembly factor Las17p and with the SH3 domains of Type I myosins Myo3p and Myo5p; localized predominantly to cortical actin patches,02_02_29
8A15,YEL026W,SNU13,"RNA binding protein; part of U3 snoRNP involved in rRNA processing, part of U4/U6-U5 tri-snRNP involved in mRNA splicing, similar to human 15.5K protein",02_02_30
7A16,YJL136W-A,YJL136W-A,Putative protein of unknown function; identified by SAGE,02_02_31
8A16,YPL125W,KAP120,Karyopherin responsible for the nuclear import of Rpf1p; Rpf1p is a ribosome maturation factor,02_02_32
7A17,YKL125W,RRN3,Protein required for transcription of rDNA by RNA polymerase I; transcription factor independent of DNA template; involved in recruitment of RNA polymerase I to rDNA; structure reveals unique HEAT repeat fold and a surface serine patch; phosphorylation of serine patch impairs cell growth and reduces RNA polymerase I binding in vitro and RNA polymerase I recruitment to the rDNA gene in vivo,02_02_33
8A17,YLR313C,SPH1,"Protein involved in shmoo formation and bipolar bud site selection; localizes to sites of polarized growth in a cell cycle dependent- and Spa2p-dependent manner, interacts with MAPKKs Mkk1p, Mkk2p, and Ste7p; SPH1 has a paralog, SPA2, that arose from the whole genome duplication",02_02_34
7A18,YLR276C,DBP9,"DEAD-box protein required for 27S rRNA processing; exhibits DNA, RNA and DNA/RNA helicase activities; ATPase activity shows preference for DNA over RNA; DNA helicase activity abolished by mutation in RNA-binding domain",02_02_35
8A18,YJL033W,HCA4,DEAD box RNA helicase; component of the SSU; interacts with Bfr2p and Enp2p; high-copy number suppression of a U14 snoRNA processing mutant suggests an involvement in 18S rRNA synthesis,02_02_36
7A19,YOL029C,YOL029C,Putative protein of unknown function; identified as interacting with Hsc82p and Hsp82p in high-throughput two-hybrid screens,02_02_37
8A19,YPL018W,CTF19,"Outer kinetochore protein, needed for accurate chromosome segregation; component of kinetochore sub-complex COMA (Ctf19p, Okp1p, Mcm21p, Ame1p) that functions as platform for kinetochore assembly; required for spindle assembly checkpoint; minimizes potentially deleterious centromere-proximal crossovers by preventing meiotic DNA break formation proximal to centromere; homolog of human centromere constitutive-associated network (CCAN) subunit CENP-P and fission yeast fta2",02_02_38
7A20,YDR003W-A,YDR003W-A,Putative protein of unknown function; identified by expression profiling and mass spectrometry,02_02_39
8A20,YPL171C,OYE3,Conserved NADPH oxidoreductase containing flavin mononucleotide (FMN); homologous to Oye2p with different ligand binding and catalytic properties; has potential roles in oxidative stress response and programmed cell death,02_02_40
7A21,YOR298C-A,MBF1,Transcriptional coactivator; bridges the DNA-binding region of Gcn4p and TATA-binding protein Spt15p; suppressor of frameshift mutations; protein abundance increases in response to DNA replication stress,02_02_41
8A21,YHL010C,ETP1,"Protein of unknown function required for growth on ethanol; contains a zinc finger region and has homology to human BRAP2, which is a cytoplasmic protein that binds nuclear localization sequences",02_02_42
7A22,YCL047C,POF1,Nicotinamide mononucleotide-specific adenylyltransferase (NMNAT); catalyzes the conversion of nicotinamide mononucleotide (NMN) to nicotinamide adenine dinucleotide (NAD+); role in the nicotinamide riboside (NR) salvage pathway of NAD+ biosynthesis; involved in NR and NAD+ homeostasis; ATPase involved in protein quality control and filamentation pathways; interacts physically with Kss1p and suppresses the filamentation defect of a kss1 deletion,02_02_43
8A22,YJR129C,EFM3,S-adenosylmethionine-dependent methyltransferase; seven-beta-strand lysine methyltransferase which trimethylates translation elongation factor EF2 (Eft1p and Eft2p) at lysine 509; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; ortholog of human gene FAM86A,02_02_44
7A23,YIL145C,PAN6,"Pantothenate synthase; also known as pantoate-beta-alanine ligase, required for pantothenic acid biosynthesis, deletion causes pantothenic acid auxotrophy, homologous to E. coli panC",02_02_45
8A23,YLR445W,GMC2,"Protein involved in meiotic crossing over; component of the Synaptonemal Complex (SC) along with Ecm11p; required for the efficient loading of the SC transverse filament protein, Zip1p; promotes SUMOylation of Ecm11p; mutants are delayed in meiotic nuclear division and are defective in synaptonemal complex assembly; transcription is regulated by Ume6p and induced in response to alpha factor",02_02_46
7A24,YEL029C,BUD16,"Putative pyridoxal kinase; a key enzyme involved in pyridoxal 5'-phosphate synthesis, the active form of vitamin B6; required for genome integrity; involved in bud-site selection; similarity to yeast BUD17 and human pyridoxal kinase (PDXK)",02_02_47
8A24,YBR271W,EFM2,S-adenosylmethionine-dependent methyltransferase; seven-beta-strand lysine methyltransferase which dimethylates translation elongation factor EF2 (Eft1p and Eft2p) at lysine 613 and methylates EF3 (Yef3p) at lysine 187; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; involved in regulation of translational termination; predicted involvement in ribosome biogenesis,02_02_48
5B1,YBR225W,YBR225W,Putative protein of unknown function; non-essential gene identified in a screen for mutants affected in mannosylphophorylation of cell wall components,02_03_01
6B1,YDR487C,RIB3,"3,4-dihydroxy-2-butanone-4-phosphate synthase (DHBP synthase); required for riboflavin biosynthesis from ribulose-5-phosphate, also has an unrelated function in mitochondrial respiration",02_03_02
5B2,his3Δ1::SWAT / SWAT-SP,None,#N/A,02_03_03
6B2,his3Δ1::SWAT / SWAT-SP,None,#N/A,02_03_04
5B3,YLR451W,LEU3,"Zinc-knuckle transcription factor, repressor and activator; regulates genes involved in branched chain amino acid biosynthesis and ammonia assimilation; acts as a repressor in leucine-replete conditions and as an activator in the presence of alpha-isopropylmalate, an intermediate in leucine biosynthesis that accumulates during leucine starvation",02_03_05
6B3,YLR277C,YSH1,"Endoribonuclease; subunit of the mRNA cleavage and polyadenylation specificity complex; required for 3' processing, splicing, and transcriptional termination of mRNAs and snoRNAs; protein abundance increases in response to DNA replication stress; YSH1 has a paralog, SYC1, that arose from the whole genome duplication",02_03_06
5B4,his3Δ1::GFPdC,None,#N/A,02_03_07
6B4,his3Δ1::GFPdC,None,#N/A,02_03_08
5B5,YNL097C,PHO23,Component of the Rpd3L histone deacetylase complex; involved in transcriptional regulation of PHO5; affects termination of snoRNAs and cryptic unstable transcripts (CUTs); C-terminus shares significant sequence identity with the human candidate tumor suppressor p33-ING1 and its isoform ING3,02_03_09
6B5,YOR323C,PRO2,Gamma-glutamyl phosphate reductase; catalyzes the second step in proline biosynthesis,02_03_10
5B6,URA+,None,#N/A,02_03_11
6B6,URA+,None,#N/A,02_03_12
5B7,YFL041W-A,YFL041W-A,Putative protein of unknown function; identified by fungal homology and RT-PCR,02_03_13
6B7,YFL010W-A,AUA1,Protein required for the negative regulation by ammonia of Gap1p; Gap1p is a general amino acid permease,02_03_14
5B8,YFL021W,GAT1,Transcriptional activator of nitrogen catabolite repression genes; contains a GATA-1-type zinc finger DNA-binding motif; activity and localization regulated by nitrogen limitation and Ure2p; different translational starts produce two major and two minor isoforms that are differentially regulated and localized,02_03_15
6B8,YJL025W,RRN7,"Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p, Rrn7p, and Rrn11p",02_03_16
5B9,YBL049W,MOH1,"Protein of unknown function, essential for stationary phase survival; not required for growth on nonfermentable carbon sources; possibly linked with vacuolar transport",02_03_17
6B9,YKL213C,DOA1,WD repeat protein required for ubiquitin-mediated protein degradation; forms a complex with Cdc48p; plays a role in controlling cellular ubiquitin concentration; also promotes efficient NHEJ in postdiauxic/stationary phase; facilitates N-terminus-dependent proteolysis of centromeric histone H3 (Cse4p) for faithful chromosome segregation; protein increases in abundance and relocalizes from nucleus to nuclear periphery upon DNA replication stress,02_03_18
5B10,YLR105C,SEN2,"Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease (Sen complex) is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen complex also cleaves the CBP1 mRNA at the mitochondrial surface; Sen2p contains the active site for tRNA 5' splice site cleavage and has similarity to Sen34p and to Archaeal tRNA splicing endonuclease;",02_03_19
6B10,YKL045W,PRI2,Subunit of DNA primase; DNA primase is required for DNA synthesis and double-strand break repair,02_03_20
5B11,YGL166W,CUP2,"Copper-binding transcription factor; activates transcription of the metallothionein genes CUP1-1 and CUP1-2 in response to elevated copper concentrations; required for regulation of copper genes in response to DNA-damaging reagents; CUP2 has a paralog, HAA1, that arose from the whole genome duplication",02_03_21
6B11,YNL261W,ORC5,Subunit of the origin recognition complex (ORC); ORC directs DNA replication by binding to replication origins and is also involved in transcriptional silencing,02_03_22
5B12,YLL007C,LMO1,Homolog of mammalian ELMO (Engulfment and celL MOtility); upstream component for regulation through the small GTPase Rho5p; may form a complex with Dck1p that acts as a GEF for Rho5p; cytoplasmic protein that relocates to mitochondria under oxidative stress; implicated in mitophagy; not an essential protein,02_03_23
6B12,YLR199C,PBA1,Protein involved in 20S proteasome assembly; forms a heterodimer with Add66p that binds to proteasome precursors; interaction with Pba1p-Add66p may affect function of the mature proteasome and its role in maintaining respiratory metabolism; similar to human PAC1 constituent of the PAC1-PAC2 complex involved in proteasome assembly,02_03_24
5B13,YOR131C,YOR131C,Putative haloacid dehalogenase-like hydrolase; non-essential gene; overexpression causes a cell cycle delay or arrest; protein abundance increases in response to DNA replication stress,02_03_25
6B13,YCL001W-A,YCL001W-A,Putative protein of unknown function; YCL001W-A gene has similarity to DOM34 and is present in a region duplicated between chromosomes XIV and III,02_03_26
